source,target
Blys,Blys
Gaurab,Gaurab
Swedish Relaxation,Swedish Relaxation
Remedial Deep Tissue,Remedial Deep Tissue
Sports Massage,Sports Massage
Pregnancy Massage,Pregnancy Massage
Aromatherapy,Aromatherapy
Lymphatic Drainage,Lymphatic Drainage
Hot Stone,Hot Stone
Scalp and Head,Scalp and Head
Reflexology,Reflexology
Thai Massage,Thai Massage
Cupping,Cupping
Oncology Massage,Oncology Massage
Medical Massage,Medical Massage
Hotel Massage,Hotel Massage
Aged Care Massage,Aged Care Massage
Home Care Massage,Home Care Massage
Chair Massage,Chair Massage
Table Massage,Table Massage
Roving Massage,Roving Massage
Corporate Massage,Corporate Massage
Mobile Massage,Mobile Massage
Couples Massage,Couples Massage
Singles Massage,Singles Massage
Back to Back,Back to Back
Group Booking,Group Booking
Facials,Facials
Pamper Packages,Pamper Packages
Hair and Makeup,Hair and Makeup
Haircuts,Haircuts
Hair Colouring,Hair Colouring
Bridal,Bridal
Brows & Lashes,Brows & Lashes
Spray Tan,Spray Tan
Waxing,Waxing
Gel Shellac,Gel Shellac
Yoga,Yoga
Pilates,Pilates
Physiotherapy,Physiotherapy
Dry Needling,Dry Needling
Telehealth,Telehealth
Gift Voucher,Gift Voucher
Provider Directory,Provider Directory
Direct Booking,Direct Booking
Past Bookings,Past Bookings
Favourites,Favourites
Rebook,Rebook
Notes for Therapist,Notes for Therapist
Massage Table,Massage Table
Platform Fee,Platform Fee
Health Fund,Health Fund
Cancellation Policy,Cancellation Policy
Same Day,Same Day
One off,One off
Every week,Every week
Every 2 weeks,Every 2 weeks
Every 3 weeks,Every 3 weeks
Every 4 weeks,Every 4 weeks
Afterpay,Afterpay
Klarna,Klarna
PayPal,PayPal
Apple Pay,Apple Pay
Google Pay,Google Pay
NDIS,NDIS
HSA,HSA
Pay with Invoice,Pay with Invoice
Stand alone only,Stand alone only
Add-on only,Add-on only
Stand alone and add-on,Stand alone and add-on
Spa Clinic Gym,Spa Clinic Gym
Blys App,Blys App
Booking,Booking
Booking ID,Booking ID
Booking Status,Booking Status
Booking Confirmation,Booking Confirmation
Booking Details,Booking Details
Booking Request,Booking Request
Booking Time,Booking Time
Booking Date,Booking Date
Booking Fee,Booking Fee
Booking Duration,Booking Duration
Booking Cancellation,Booking Cancellation
Booking History,Booking History
New Booking,New Booking
Upcoming Booking,Upcoming Booking
Past Booking,Past Booking
Cancelled Booking,Cancelled Booking
Completed Booking,Completed Booking
Pending Booking,Pending Booking
Reschedule Booking,Reschedule Booking
Cancel Booking,Cancel Booking
Confirm Booking,Confirm Booking
Modify Booking,Modify Booking
Service,Service
Service Type,Service Type
Service Details,Service Details
Service Duration,Service Duration
Service Price,Service Price
Service Fee,Service Fee
Home Service,Home Service
Mobile Service,Mobile Service
Massage Service,Massage Service
